Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJs1l_CQBv5kcRwkEJVAarq1M,Biblioteca,ChIJnZVLJQBv5kcRoWVJPpZ4_X0,Grand hotel turin,0.0
ChIJnZVLJQBv5kcRoWVJPpZ4_X0,Grand hotel turin,ChIJnZVLJQBv5kcRoWVJPpZ4_X0,Grand hotel turin,0.0
ChIJEe5nqMRx5kcRc6SziBAcBS8,Bibliothèque d'Ichtyologie - Théodore Monod,ChIJEe5nqMRx5kcRc6SziBAcBS8,Bibliothèque d'Ichtyologie - Théodore Monod,0.0
ChIJq57OVwdx5kcRYUBT_tBItPM,Bibliothèque d'Anthropologie Maritime,ChIJEe5nqMRx5kcRc6SziBAcBS8,Bibliothèque d'Ichtyologie - Théodore Monod,0.0
ChIJq6pqhBZu5kcRceHUpTtMY3c,Théâtre Daunou,ChIJQ7wv8Ytv5kcRl0z_pWTPo3o,Festival de l'Autre Humour Paris 2020,0.003
ChIJQ7wv8Ytv5kcRl0z_pWTPo3o,Festival de l'Autre Humour Paris 2020,ChIJq6pqhBZu5kcRceHUpTtMY3c,Théâtre Daunou,0.003
ChIJ72cRF95v5kcRXxB4RJvgDSM,Dolci.,ChIJyQI0FD5u5kcRtuWcipjf8Jc,AU LOUP,0.3185
ChIJyQI0FD5u5kcRtuWcipjf8Jc,AU LOUP,ChIJ72cRF95v5kcRXxB4RJvgDSM,Dolci.,0.3185
ChIJqb-gsThu5kcRG63PsVkpZyA,Bulles en tête Le Peletier,ChIJTyZF84hv5kcR9YTdd-b0h4s,Stella Café ® Teatime Paris,0.3292
ChIJTyZF84hv5kcR9YTdd-b0h4s,Stella Café ® Teatime Paris,ChIJqb-gsThu5kcRG63PsVkpZyA,Bulles en tête Le Peletier,0.3292
ChIJNQFN9Utu5kcRhWHZHCUc6U4,The Coq and Bulldog,ChIJZ3LdY0xu5kcReTnlLtT9qxQ,Mia Café,0.3332
ChIJZ3LdY0xu5kcReTnlLtT9qxQ,Mia Café,ChIJNQFN9Utu5kcRhWHZHCUc6U4,The Coq and Bulldog,0.3332
ChIJAb-jrhdu5kcRivcvUj0BLU8,Caminito,ChIJucg0qyJu5kcRKIbF4ecB_ko,Restaurant Bachaumont,0.3649
ChIJucg0qyJu5kcRKIbF4ecB_ko,Restaurant Bachaumont,ChIJAb-jrhdu5kcRivcvUj0BLU8,Caminito,0.3649
ChIJQ36owoVv5kcR8FjbLs82sPQ,Atti Café,ChIJmx0LcBZu5kcR-wpNmXjqCHw,Les visites de Paris,0.3713
ChIJmx0LcBZu5kcR-wpNmXjqCHw,Les visites de Paris,ChIJQ36owoVv5kcR8FjbLs82sPQ,Atti Café,0.3713
ChIJo8EpzExv5kcRUmdn_P6qd1c,Les Chartrons,ChIJZR5X0h1v5kcRKHX-v-Duw_Y,Restaurant L'Oyat,0.3722
ChIJZR5X0h1v5kcRKHX-v-Duw_Y,Restaurant L'Oyat,ChIJo8EpzExv5kcRUmdn_P6qd1c,Les Chartrons,0.3722
ChIJe5A7IhVu5kcRcRVOs6Nj_wg,Hôtel Titon,ChIJy5OQuRRu5kcRxZdZUtLjuIQ,Cinéma Defacto,0.3861
ChIJy5OQuRRu5kcRxZdZUtLjuIQ,Cinéma Defacto,ChIJe5A7IhVu5kcRcRVOs6Nj_wg,Hôtel Titon,0.3861
ChIJ8TxnRPZt5kcRHew2Kk6-D9s,Il Bacaro,ChIJn0W4ymFt5kcRo74E4Wrk7bI,Chez Funda,0.3953
ChIJn0W4ymFt5kcRo74E4Wrk7bI,Chez Funda,ChIJ8TxnRPZt5kcRHew2Kk6-D9s,Il Bacaro,0.3953
ChIJocflreJx5kcReuhFDSLKLQk,Église Saint-Gervais,ChIJ9yTougJu5kcRxuvB58hRxS4,Comme à Lisbonne,0.411
ChIJ9yTougJu5kcRxuvB58hRxS4,Comme à Lisbonne,ChIJocflreJx5kcReuhFDSLKLQk,Église Saint-Gervais,0.411
ChIJn1aMHgdu5kcRsJcQVAd-biM,LuckyBastard,ChIJzZjbdP1t5kcRLc_axPP36dc,LES PLANQUES - Bar Paris 11 Oberkampf,0.4203
ChIJzZjbdP1t5kcRLc_axPP36dc,LES PLANQUES - Bar Paris 11 Oberkampf,ChIJn1aMHgdu5kcRsJcQVAd-biM,LuckyBastard,0.4203
ChIJZazvjMZv5kcREZMvWJYA6q8,L'Arôme,ChIJ0-OQK89v5kcRXguvsj94NRk,Café Antonia,0.4262
ChIJ0-OQK89v5kcRXguvsj94NRk,Café Antonia,ChIJZazvjMZv5kcREZMvWJYA6q8,L'Arôme,0.4262
ChIJ871iyhlu5kcRmKuQv9m2NX0,La Cave de Martin,ChIJZQBGrRdu5kcRd7THl_81ttg,L'Ivress Sentier,0.4268
ChIJZQBGrRdu5kcRd7THl_81ttg,L'Ivress Sentier,ChIJ871iyhlu5kcRmKuQv9m2NX0,La Cave de Martin,0.4268
ChIJe7buYCNx5kcRUFSGQroz3DM,Shekamou,ChIJg_lh96Rx5kcRvp9W0aUuiAc,Librairie Perse en Poche (Naakojaa Utopiran),0.4376
ChIJg_lh96Rx5kcRvp9W0aUuiAc,Librairie Perse en Poche (Naakojaa Utopiran),ChIJe7buYCNx5kcRUFSGQroz3DM,Shekamou,0.4376
ChIJ44G6CuFv5kcRUJh-LQyLNqk,Black Sheep,ChIJhwjUmEVu5kcRux1nmEfgh0c,Marlusse et Lapin,0.4382
ChIJhwjUmEVu5kcRux1nmEfgh0c,Marlusse et Lapin,ChIJ44G6CuFv5kcRUJh-LQyLNqk,Black Sheep,0.4382
ChIJGU5-0vFt5kcR9lJ0UAfL9BI,Le Grand Jeu,ChIJlfN6Pu5t5kcRPXeQIh9DWak,Librairie musulmane Al Kitab,0.4445
ChIJlfN6Pu5t5kcRPXeQIh9DWak,Librairie musulmane Al Kitab,ChIJGU5-0vFt5kcR9lJ0UAfL9BI,Le Grand Jeu,0.4445
ChIJS5Irevlt5kcRh_bARgCHK7Y,BODOMA - Craft bar / Café,ChIJ6a6rMpxt5kcRhf4xQmZRcuE,YOLEE restaurant coréen,0.4469
ChIJ6a6rMpxt5kcRhf4xQmZRcuE,YOLEE restaurant coréen,ChIJS5Irevlt5kcRh_bARgCHK7Y,BODOMA - Craft bar / Café,0.4469
ChIJD2H2EuZx5kcROFuD37v4OSI,Le Petit Café,ChIJjZtBkeVx5kcR5LXxdFgtyDo,Strada Café,0.4501
ChIJjZtBkeVx5kcR5LXxdFgtyDo,Strada Café,ChIJD2H2EuZx5kcROFuD37v4OSI,Le Petit Café,0.4501
ChIJf1oga5Rx5kcRSMIbRjmi2d0,Librairie les Oiseaux Rares,ChIJOwSFWg5x5kcRTAwp6Dg34Wk,THE IRISHMAN,0.4513
ChIJR87SU5Jx5kcR0vgMO7y2HyA,Manufacture des Gobelins,ChIJr-bFWVBl5kcRIOx-tTYwetE,La Manufacture Hotel - Paris,0.4513
ChIJr-bFWVBl5kcRIOx-tTYwetE,La Manufacture Hotel - Paris,ChIJR87SU5Jx5kcR0vgMO7y2HyA,Manufacture des Gobelins,0.4513
ChIJOwSFWg5x5kcRTAwp6Dg34Wk,THE IRISHMAN,ChIJf1oga5Rx5kcRSMIbRjmi2d0,Librairie les Oiseaux Rares,0.4513
ChIJKxi5iuZx5kcRxY_qRE6prgk,Hôtel Atmosphères,ChIJfx_wRO9x5kcRTo8a5I2E5wU,Hôtel des Grandes Écoles Paris 5 Quartier Latin,0.4544
ChIJfx_wRO9x5kcRTo8a5I2E5wU,Hôtel des Grandes Écoles Paris 5 Quartier Latin,ChIJKxi5iuZx5kcRxY_qRE6prgk,Hôtel Atmosphères,0.4544
ChIJizggvyBu5kcRqb8xJVCQPQE,Square du Vert-Galant,ChIJ8R5-hOBx5kcRsCOdfj8GLeY,Albe Hôtel,0.4568
ChIJ8R5-hOBx5kcRsCOdfj8GLeY,Albe Hôtel,ChIJizggvyBu5kcRqb8xJVCQPQE,Square du Vert-Galant,0.4568
ChIJfxzDOUxv5kcR5DN3x7i61p4,Huddle Coffee,ChIJzSYV-gZu5kcRRa_GSsAG0zc,Ob-La-Di,0.457
ChIJzSYV-gZu5kcRRa_GSsAG0zc,Ob-La-Di,ChIJfxzDOUxv5kcR5DN3x7i61p4,Huddle Coffee,0.457
ChIJ4euym0tu5kcRkAbawOT3HVU,Les Barrés,ChIJdzv7ZRdu5kcRxMGLqTNqNeI,Les Domaines Qui Montent - Caviste - Quartier Montorgueil,0.4579
ChIJdzv7ZRdu5kcRxMGLqTNqNeI,Les Domaines Qui Montent - Caviste - Quartier Montorgueil,ChIJ4euym0tu5kcRkAbawOT3HVU,Les Barrés,0.4579
ChIJX0ye0AFv5kcRqHNgrQTN5Vg,Le Katre,ChIJgWoRNjRv5kcR2422TYAEnyE,Restaurant L'Évadé Bistronomie Paris 9,0.4585
ChIJgWoRNjRv5kcR2422TYAEnyE,Restaurant L'Évadé Bistronomie Paris 9,ChIJX0ye0AFv5kcRqHNgrQTN5Vg,Le Katre,0.4585
ChIJIwDp4Q5u5kcReEJkb-lOKHo,Ti' Cap,ChIJo8EpzExv5kcRUmdn_P6qd1c,Les Chartrons,0.4593
ChIJSX0lZtlv5kcRToqw-KI1zc0,"Kani Restaurant Italien à Paris, Pinsa, Pasta e Piatti",ChIJl6Mbw91v5kcR7lSFYIf-7iQ,Les Vitelloni,0.4595
ChIJl6Mbw91v5kcR7lSFYIf-7iQ,Les Vitelloni,ChIJSX0lZtlv5kcRToqw-KI1zc0,"Kani Restaurant Italien à Paris, Pinsa, Pasta e Piatti",0.4595
ChIJKZFjOAZt5kcRmcKVNJFeMrY,Librairie Les Parages,ChIJn0W4ymFt5kcRo74E4Wrk7bI,Chez Funda,0.4616
ChIJN_VadQtu5kcRLwEl3jggM4s,Brasserie de l'Hôtel du Nord,ChIJV9nlWAxu5kcRM9aGsVh7bVo,Gravity Bar,0.4624
ChIJV9nlWAxu5kcRM9aGsVh7bVo,Gravity Bar,ChIJN_VadQtu5kcRLwEl3jggM4s,Brasserie de l'Hôtel du Nord,0.4624
ChIJXX8yNvNx5kcRZC0jLBfF22s,La Fût Gueuze,ChIJS3pghvNx5kcR_IrxmcDc0lA,Sellae,0.4642
ChIJS3pghvNx5kcR_IrxmcDc0lA,Sellae,ChIJXX8yNvNx5kcRZC0jLBfF22s,La Fût Gueuze,0.4642
ChIJcarEjuZx5kcR23v0Y2K-HK0,Hotel La Lanterne & Spa by Timhotel,ChIJBRNtS91x5kcRpp2o5UygPIs,Madeleine de Senlis,0.4659
ChIJBRNtS91x5kcRpp2o5UygPIs,Madeleine de Senlis,ChIJcarEjuZx5kcR23v0Y2K-HK0,Hotel La Lanterne & Spa by Timhotel,0.4659
ChIJc3svhR5u5kcRr54mtgfFpWU,Meating Corner - Marais,ChIJC5wv_Btu5kcRAJq-TMasj_M,Barberousse Paris,0.4674
ChIJC5wv_Btu5kcRAJq-TMasj_M,Barberousse Paris,ChIJc3svhR5u5kcRr54mtgfFpWU,Meating Corner - Marais,0.4674
ChIJKam8O4xx5kcRfSzL-gS77F0,Hotel inn Paris Place d'Italie,ChIJm_46IItx5kcR6MgPl2-OPpU,P'tit Coco,0.4675
ChIJm_46IItx5kcR6MgPl2-OPpU,P'tit Coco,ChIJKam8O4xx5kcRfSzL-gS77F0,Hotel inn Paris Place d'Italie,0.4675
ChIJ_7E6YJ1v5kcRSSnKVHUd6JI,Ici librairie indépendante,ChIJQ36owoVv5kcR8FjbLs82sPQ,Atti Café,0.4678
ChIJOWmfaBFu5kcR41lNtDWzQwo,Le Saint Denis,ChIJmx0LcBZu5kcR-wpNmXjqCHw,Les visites de Paris,0.4684
ChIJPSLgUuBt5kcRrcvnJWg9cHw,Le Dude,ChIJyzvdFuZt5kcRO_Gb84ElkbI,Le Grand Bain,0.4688
ChIJyzvdFuZt5kcRO_Gb84ElkbI,Le Grand Bain,ChIJPSLgUuBt5kcRrcvnJWg9cHw,Le Dude,0.4688
ChIJ0WlK53tx5kcRQjsB4BD_DY4,Librairie Volontaires,ChIJrxZOZuZx5kcRzJS0Yo9WsOI,L'Entredeux Paris,0.4693
ChIJrxZOZuZx5kcRzJS0Yo9WsOI,L'Entredeux Paris,ChIJ0WlK53tx5kcRQjsB4BD_DY4,Librairie Volontaires,0.4693
ChIJg1756fBt5kcR82KOYx4NyZI,LE GRAND BALLS,ChIJn5gV0y1t5kcR79BLnmgLNj0,Chulla Vida - Restaurant - Paris 11,0.4714
ChIJn5gV0y1t5kcR79BLnmgLNj0,Chulla Vida - Restaurant - Paris 11,ChIJg1756fBt5kcR82KOYx4NyZI,LE GRAND BALLS,0.4714
ChIJFczQXidw5kcRcmltFO7GGe8,L'Éclair,ChIJh32iCt9v5kcRv8zeQH_P9hI,Le Petit Cler,0.4715
